sample_id,input_type,bam_path,fastq_r1,fastq_r2,species,population,region,reef_site,lat,lon
Ofra_19,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Ofra_19.bwa.dedup.clip.bam,,,Ofranksi,FL_RR,Upper Keys,Tavernier Patch reef,24.9974333,-80.4596167
Ofra_2,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Ofra_2.bwa.dedup.clip.bam,,,Ofranksi,FL_RR,Upper Keys,North of Horseshoe,25.1471167,-80.2925167
Ofra_20,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Ofra_20.bwa.dedup.clip.bam,,,Ofranksi,FL_RR,Upper Keys,Tavernier Patch reef,24.9973833,-80.4595667
Ofra_21,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Ofra_21.bwa.dedup.clip.bam,,,Ofranksi,FL_RR,Lower Keys,Key West patch reef,24.50135,-81.7458833
Ofra_26,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Ofra_26.bwa.dedup.clip.bam,,,Ofranksi,FL_RR,Upper Keys,East Turtle Shoal,24.7247167,-80.91865
Ofra_29,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Ofra_29.bwa.dedup.clip.bam,,,Ofranksi,FL_RR,Key West,"Coast Guard Station, Key West",24.564635,-81.801061
Ofra_3,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Ofra_3.bwa.dedup.clip.bam,,,Ofranksi,FL_RR,Upper Keys,Triangles 1,25.01845,-80.43915
Ofra_4,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Ofra_4.bwa.dedup.clip.bam,,,Ofranksi,FL_RR,Upper Keys,Watsons Reef,25.1853833,-80.24275
Ofra_5,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Ofra_5.bwa.dedup.clip.bam,,,Ofranksi,FL_RR,Upper Keys,Triangles 1,25.0208,-80.4248833
Ofra_6,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Ofra_6.bwa.dedup.clip.bam,,,Ofranksi,FL_RR,Middle Keys,Lower Matecumbe,24.8276333,-80.6476
Ofra_7,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Ofra_7.bwa.dedup.clip.bam,,,Ofranksi,FL_RR,Middle Keys,Lower Matecumbe,24.8276333,-80.6471
Ofra_8,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Ofra_8.bwa.dedup.clip.bam,,,Ofranksi,FL_RR,Middle Keys,Lower Matecumbe,24.8086667,-80.67985
Ofra_9,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Ofra_9.bwa.dedup.clip.bam,,,Ofranksi,FL_RR,Middle Keys,East Turtle Shoal,24.7109333,-80.9468833
